distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,16,8,WORK_STEALING,6983.758,500000
Beta,LogPDF,16,16,16,PARALLEL,9858.49,500000
Beta,PDF,16,8,8,PARALLEL,9402.929,500000
Binomial,CDF,32,8,16,VECTORIZED,174284.388,500000
Binomial,LogPDF,8,,32,VECTORIZED,29839.135,500000
Binomial,PDF,8,,8,VECTORIZED,39513.034,500000
ChiSquared,CDF,8,8,8,WORK_STEALING,7649.519,500000
ChiSquared,LogPDF,16,8,16,WORK_STEALING,1082.625,500000
ChiSquared,PDF,8,8,16,WORK_STEALING,2437.752,500000
Discrete,CDF,8,16,16,WORK_STEALING,416.88,500000
Discrete,LogPDF,8,8,64,WORK_STEALING,382.066,500000
Discrete,PDF,8,100000,8,WORK_STEALING,402.164,500000
Exponential,CDF,8,8,8,WORK_STEALING,1139.061,500000
Exponential,LogPDF,8,8,32,WORK_STEALING,281.708,500000
Exponential,PDF,8,8,8,WORK_STEALING,1051.621,500000
Gamma,CDF,8,8,16,WORK_STEALING,5984.814,500000
Gamma,LogPDF,8,8,32,WORK_STEALING,1350.406,500000
Gamma,PDF,8,8,8,WORK_STEALING,1934.193,500000
Gaussian,CDF,8,10000,32,WORK_STEALING,2949.928,500000
Gaussian,LogPDF,8,8,32,WORK_STEALING,220.651,500000
Gaussian,PDF,8,8,32,WORK_STEALING,869.179,500000
LogNormal,CDF,16,8,1000,WORK_STEALING,4236.759,500000
LogNormal,LogPDF,8,8,512,WORK_STEALING,1178.131,500000
LogNormal,PDF,8,8,32,WORK_STEALING,2289.473,500000
NegBinomial,CDF,16,16,,VECTORIZED,129775.695,500000
NegBinomial,LogPDF,8,,256,VECTORIZED,25847.33,500000
NegBinomial,PDF,8,,64,VECTORIZED,33883.743,500000
Pareto,CDF,8,100000,1000,WORK_STEALING,2930.48,500000
Pareto,LogPDF,8,10000,8,WORK_STEALING,1193.235,500000
Pareto,PDF,8,50000,512,WORK_STEALING,2320.972,500000
Poisson,CDF,32,8,256,WORK_STEALING,8372.766,500000
Poisson,LogPDF,8,8,16,WORK_STEALING,1939.588,500000
Poisson,PDF,8,8,2000,WORK_STEALING,2913.83,500000
Rayleigh,CDF,8,8,256,WORK_STEALING,990.026,500000
Rayleigh,LogPDF,8,8,2000,WORK_STEALING,1605.862,500000
Rayleigh,PDF,8,8,2000,WORK_STEALING,2240.538,500000
StudentT,CDF,8,8,8,WORK_STEALING,15164.519,500000
StudentT,LogPDF,8,8,8,WORK_STEALING,1331.165,500000
StudentT,PDF,8,50000,128,WORK_STEALING,2039.978,500000
Uniform,CDF,8,8,8,WORK_STEALING,546.082,500000
Uniform,LogPDF,8,32,2000,VECTORIZED,322.74,500000
Uniform,PDF,8,16,16,VECTORIZED,340.548,500000
VonMises,CDF,32,8,8,WORK_STEALING,1798579.798,500000
VonMises,LogPDF,8,250000,2000,WORK_STEALING,2597.03,500000
VonMises,PDF,8,250000,512,WORK_STEALING,3486.503,500000
Weibull,CDF,8,50000,128,WORK_STEALING,4019.349,500000
Weibull,LogPDF,8,8,5000,WORK_STEALING,2275.258,500000
Weibull,PDF,8,8,32,WORK_STEALING,3935.039,500000
