distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,256,8,PARALLEL,3339.25,500000
Beta,LogPDF,16,256,16,PARALLEL,4659.75,500000
Beta,PDF,16,512,8,WORK_STEALING,5580.75,500000
Binomial,CDF,16,64,2000,VECTORIZED,66091.084,500000
Binomial,LogPDF,8,,16,VECTORIZED,11732.0,500000
Binomial,PDF,8,,8,VECTORIZED,12476.042,500000
ChiSquared,CDF,8,16,32,WORK_STEALING,4078.875,500000
ChiSquared,LogPDF,8,8,128,WORK_STEALING,506.292,500000
ChiSquared,PDF,8,8,32,WORK_STEALING,944.041,500000
Discrete,CDF,8,8,512,VECTORIZED,274.334,500000
Discrete,LogPDF,8,50000,32,PARALLEL,231.208,500000
Discrete,PDF,8,100000,128,PARALLEL,196.875,500000
Exponential,CDF,8,8,128,WORK_STEALING,420.542,500000
Exponential,LogPDF,8,32,512,PARALLEL,135.125,500000
Exponential,PDF,8,8,64,PARALLEL,387.125,500000
Gamma,CDF,8,8,32,WORK_STEALING,3795.875,500000
Gamma,LogPDF,8,8,32,PARALLEL,551.667,500000
Gamma,PDF,8,8,8,PARALLEL,887.083,500000
Gaussian,CDF,8,,16,VECTORIZED,1010.042,500000
Gaussian,LogPDF,8,8,32,PARALLEL,122.584,500000
Gaussian,PDF,8,8,2000,WORK_STEALING,389.875,500000
LogNormal,CDF,8,,128,VECTORIZED,2213.5,500000
LogNormal,LogPDF,8,8,32,WORK_STEALING,597.417,500000
LogNormal,PDF,8,8,2000,PARALLEL,924.625,500000
NegBinomial,CDF,32,128,2000,SCALAR,48081.708,500000
NegBinomial,LogPDF,8,,32,VECTORIZED,13872.375,500000
NegBinomial,PDF,8,,1000,VECTORIZED,13811.291,500000
Pareto,CDF,8,100000,2000,WORK_STEALING,1047.125,500000
Pareto,LogPDF,8,50000,128,WORK_STEALING,667.625,500000
Pareto,PDF,8,100000,512,WORK_STEALING,1280.833,500000
Poisson,CDF,16,8,8,WORK_STEALING,4299.166,500000
Poisson,LogPDF,8,32,256,WORK_STEALING,715.5,500000
Poisson,PDF,8,2000,128,WORK_STEALING,1188.0,500000
Rayleigh,CDF,8,8,128,WORK_STEALING,403.25,500000
Rayleigh,LogPDF,8,8,2000,WORK_STEALING,649.542,500000
Rayleigh,PDF,8,8,1000,WORK_STEALING,943.167,500000
StudentT,CDF,8,8,32,WORK_STEALING,8613.375,500000
StudentT,LogPDF,8,8,16,PARALLEL,664.084,500000
StudentT,PDF,8,8,128,PARALLEL,1038.458,500000
Uniform,CDF,8,8,256,WORK_STEALING,514.916,500000
Uniform,LogPDF,8,1000,2000,VECTORIZED,88.458,500000
Uniform,PDF,8,32,32,VECTORIZED,89.834,500000
VonMises,CDF,16,32,256,WORK_STEALING,505776.125,500000
VonMises,LogPDF,8,250000,512,WORK_STEALING,876.209,500000
VonMises,PDF,8,8,8,WORK_STEALING,1196.417,500000
Weibull,CDF,8,100000,32,WORK_STEALING,1796.625,500000
Weibull,LogPDF,16,8,2000,WORK_STEALING,1406.25,500000
Weibull,PDF,8,8,128,WORK_STEALING,1793.833,500000
