distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,512,128,WORK_STEALING,31524.371,2000000
Beta,LogPDF,64,256,6144,WORK_STEALING,37292.174,2000000
Beta,PDF,64,256,128,WORK_STEALING,40242.992,2000000
Binomial,CDF,64,64,64,VECTORIZED,517918.048,2000000
Binomial,LogPDF,64,,64,VECTORIZED,90791.365,2000000
Binomial,PDF,64,,128,VECTORIZED,115066.406,2000000
Cauchy,CDF,64,128,128,WORK_STEALING,66413.185,2000000
Cauchy,LogPDF,64,50000,128,WORK_STEALING,12762.069,2000000
Cauchy,PDF,64,50000,128,WORK_STEALING,19475.032,2000000
ChiSquared,CDF,64,64,1024,WORK_STEALING,30192.841,2000000
ChiSquared,LogPDF,64,128,50000,PARALLEL,9490.34,2000000
ChiSquared,PDF,64,256,2048,PARALLEL,13882.447,2000000
Discrete,CDF,64,256,64,WORK_STEALING,2042.169,2000000
Discrete,LogPDF,64,50000,512,WORK_STEALING,1860.937,2000000
Discrete,PDF,64,25000,64,WORK_STEALING,1839.366,2000000
Exponential,CDF,64,25000,1024,WORK_STEALING,3995.912,2000000
Exponential,LogPDF,64,64,2048,WORK_STEALING,1903.386,2000000
Exponential,PDF,64,10000,256,WORK_STEALING,3674.514,2000000
Gamma,CDF,64,64,64,WORK_STEALING,28697.386,2000000
Gamma,LogPDF,64,128,256,WORK_STEALING,9791.248,2000000
Gamma,PDF,64,256,512,WORK_STEALING,13854.841,2000000
Gaussian,CDF,64,8192,1024,WORK_STEALING,13373.048,2000000
Gaussian,LogPDF,64,64,4096,WORK_STEALING,1831.172,2000000
Gaussian,PDF,64,50000,512,WORK_STEALING,3719.182,2000000
Geometric,CDF,128,256,64,SCALAR,264378.186,2000000
Geometric,LogPDF,64,,64,VECTORIZED,63900.637,2000000
Geometric,PDF,64,,64,VECTORIZED,79635.214,2000000
Laplace,CDF,64,64,1024,WORK_STEALING,6073.137,2000000
Laplace,LogPDF,64,64,4096,PARALLEL,1726.347,2000000
Laplace,PDF,64,10000,4096,WORK_STEALING,3942.656,2000000
LogNormal,CDF,64,128,512,PARALLEL,32696.105,2000000
LogNormal,LogPDF,64,8192,2048,WORK_STEALING,4705.957,2000000
LogNormal,PDF,64,25000,256,WORK_STEALING,9637.346,2000000
NegBinomial,CDF,64,128,256,VECTORIZED,400565.196,2000000
NegBinomial,LogPDF,64,,256,VECTORIZED,84709.555,2000000
NegBinomial,PDF,64,,256,VECTORIZED,107049.165,2000000
Pareto,CDF,64,25000,512,WORK_STEALING,10945.308,2000000
Pareto,LogPDF,64,25000,4096,WORK_STEALING,5070.63,2000000
Pareto,PDF,64,25000,4096,WORK_STEALING,8958.252,2000000
Poisson,CDF,64,64,128,WORK_STEALING,34836.513,2000000
Poisson,LogPDF,64,64,128,WORK_STEALING,6910.986,2000000
Poisson,PDF,64,128,64,WORK_STEALING,14101.327,2000000
Rayleigh,CDF,64,25000,128,WORK_STEALING,4059.939,2000000
Rayleigh,LogPDF,64,64,4096,WORK_STEALING,4822.428,2000000
Rayleigh,PDF,64,10000,128,WORK_STEALING,9011.078,2000000
StudentT,CDF,64,64,512,WORK_STEALING,63228.581,2000000
StudentT,LogPDF,64,25000,1024,WORK_STEALING,5764.548,2000000
StudentT,PDF,64,10000,2048,WORK_STEALING,11492.238,2000000
Uniform,CDF,64,64,64,WORK_STEALING,3030.705,2000000
Uniform,LogPDF,64,128,2048,VECTORIZED,2305.233,2000000
Uniform,PDF,64,1024,256,WORK_STEALING,2735.337,2000000
VonMises,CDF,128,256,128,WORK_STEALING,5493156.109,2000000
VonMises,LogPDF,64,250000,128,WORK_STEALING,6923.984,2000000
VonMises,PDF,64,200000,4096,WORK_STEALING,10765.245,2000000
Weibull,CDF,64,25000,1024,WORK_STEALING,15182.9,2000000
Weibull,LogPDF,64,8192,64,WORK_STEALING,9232.04,2000000
Weibull,PDF,64,25000,128,WORK_STEALING,14865.902,2000000
