distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,6144,2048,PARALLEL,14937.0,2000000
Beta,LogPDF,64,64,256,PARALLEL,11854.0,2000000
Beta,PDF,64,256,64,WORK_STEALING,12722.0,2000000
Binomial,CDF,128,64,128,WORK_STEALING,152768.7,2000000
Binomial,LogPDF,64,2048,64,VECTORIZED,169600.9,2000000
Binomial,PDF,64,256,256,VECTORIZED,175690.6,2000000
Cauchy,CDF,64,256,256,PARALLEL,243013.7,2000000
Cauchy,LogPDF,64,400000,4096,PARALLEL,9418.2,2000000
Cauchy,PDF,64,300000,256,WORK_STEALING,12323.3,2000000
ChiSquared,CDF,64,64,128,PARALLEL,20323.1,2000000
ChiSquared,LogPDF,64,256,256,PARALLEL,2992.3,2000000
ChiSquared,PDF,64,512,8192,WORK_STEALING,5017.4,2000000
Discrete,CDF,64,75000,50000,WORK_STEALING,999.7,2000000
Discrete,LogPDF,64,100000,256,WORK_STEALING,863.5,2000000
Discrete,PDF,64,512,512,PARALLEL,873.7,2000000
Exponential,CDF,64,250000,10000,PARALLEL,1606.8,2000000
Exponential,LogPDF,64,250000,8192,WORK_STEALING,852.7,2000000
Exponential,PDF,64,200000,10000,PARALLEL,1776.8,2000000
Gamma,CDF,64,64,64,PARALLEL,19544.0,2000000
Gamma,LogPDF,64,256,256,PARALLEL,3009.5,2000000
Gamma,PDF,64,1024,2048,WORK_STEALING,4916.6,2000000
Gaussian,CDF,64,25000,4096,WORK_STEALING,2866.7,2000000
Gaussian,LogPDF,64,64,64,PARALLEL,812.9,2000000
Gaussian,PDF,64,500000,1024,WORK_STEALING,1880.0,2000000
Geometric,CDF,256,256,64,WORK_STEALING,156763.0,2000000
Geometric,LogPDF,64,,256,VECTORIZED,97366.8,2000000
Geometric,PDF,128,64,64,VECTORIZED,110359.3,2000000
Laplace,CDF,64,2048,256,WORK_STEALING,3213.5,2000000
Laplace,LogPDF,64,64,8192,WORK_STEALING,1050.4,2000000
Laplace,PDF,64,64,10000,PARALLEL,2247.6,2000000
LogNormal,CDF,64,2048,2048,PARALLEL,12810.3,2000000
LogNormal,LogPDF,64,150000,6144,PARALLEL,2336.0,2000000
LogNormal,PDF,64,150000,4096,WORK_STEALING,4080.9,2000000
NegBinomial,CDF,1024,512,512,WORK_STEALING,169296.7,2000000
NegBinomial,LogPDF,64,,64,VECTORIZED,130941.8,2000000
NegBinomial,PDF,64,,64,VECTORIZED,143578.2,2000000
Pareto,CDF,64,2000000,8192,PARALLEL,5143.5,2000000
Pareto,LogPDF,64,1500000,6144,WORK_STEALING,2383.9,2000000
Pareto,PDF,64,750000,4096,PARALLEL,4036.3,2000000
Poisson,CDF,128,256,256,PARALLEL,22808.6,2000000
Poisson,LogPDF,64,25000,64,PARALLEL,3711.2,2000000
Poisson,PDF,64,512,512,WORK_STEALING,6170.0,2000000
Rayleigh,CDF,64,300000,25000,PARALLEL,1734.4,2000000
Rayleigh,LogPDF,64,100000,1024,WORK_STEALING,2234.3,2000000
Rayleigh,PDF,64,150000,1024,PARALLEL,4006.7,2000000
StudentT,CDF,64,256,128,VECTORIZED,278536.7,2000000
StudentT,LogPDF,64,1500000,2048,WORK_STEALING,3689.7,2000000
StudentT,PDF,64,2000000,64,PARALLEL,5348.8,2000000
Uniform,CDF,64,1024,1024,PARALLEL,1750.9,2000000
Uniform,LogPDF,64,50000,8192,PARALLEL,1782.2,2000000
Uniform,PDF,64,50000,1024,WORK_STEALING,1740.1,2000000
VonMises,CDF,64,64,64,WORK_STEALING,1878534.5,2000000
VonMises,LogPDF,64,75000,6144,PARALLEL,3422.2,2000000
VonMises,PDF,64,25000,128,PARALLEL,4749.7,2000000
Weibull,CDF,64,1500000,256,WORK_STEALING,5987.1,2000000
Weibull,LogPDF,64,100000,6144,WORK_STEALING,4095.1,2000000
Weibull,PDF,64,150000,64,PARALLEL,6205.0,2000000
