distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,2048,128,WORK_STEALING,3734.125,500000
Beta,LogPDF,64,256,256,WORK_STEALING,4635.583,500000
Beta,PDF,64,512,1024,PARALLEL,5548.709,500000
Binomial,CDF,512,64,64,VECTORIZED,66109.625,500000
Binomial,LogPDF,64,,1024,VECTORIZED,10771.458,500000
Binomial,PDF,64,,64,VECTORIZED,12496.416,500000
ChiSquared,CDF,64,2048,64,WORK_STEALING,4587.959,500000
ChiSquared,LogPDF,64,64,1024,PARALLEL,532.875,500000
ChiSquared,PDF,64,4096,2048,WORK_STEALING,936.583,500000
Discrete,CDF,64,,1024,VECTORIZED,271.667,500000
Discrete,LogPDF,64,50000,64,PARALLEL,231.583,500000
Discrete,PDF,64,75000,128,PARALLEL,181.292,500000
Exponential,CDF,64,25000,128,WORK_STEALING,427.708,500000
Exponential,LogPDF,64,64,1024,PARALLEL,147.541,500000
Exponential,PDF,64,10000,256,PARALLEL,407.625,500000
Gamma,CDF,64,64,64,PARALLEL,4537.167,500000
Gamma,LogPDF,64,64,1024,PARALLEL,660.291,500000
Gamma,PDF,64,10000,128,PARALLEL,1035.708,500000
Gaussian,CDF,64,,256,VECTORIZED,1001.833,500000
Gaussian,LogPDF,64,64,2048,PARALLEL,118.375,500000
Gaussian,PDF,64,25000,256,PARALLEL,416.292,500000
LogNormal,CDF,64,,128,VECTORIZED,2201.25,500000
LogNormal,LogPDF,64,64,2048,PARALLEL,595.667,500000
LogNormal,PDF,64,6144,1024,PARALLEL,1013.416,500000
NegBinomial,CDF,512,64,256,SCALAR,48732.292,500000
NegBinomial,LogPDF,64,,256,VECTORIZED,14113.958,500000
NegBinomial,PDF,64,,512,VECTORIZED,14111.5,500000
Pareto,CDF,64,50000,128,PARALLEL,1075.583,500000
Pareto,LogPDF,64,50000,128,WORK_STEALING,695.208,500000
Pareto,PDF,64,100000,256,WORK_STEALING,1256.458,500000
Poisson,CDF,64,64,128,WORK_STEALING,4489.375,500000
Poisson,LogPDF,64,512,1024,WORK_STEALING,797.292,500000
Poisson,PDF,64,512,512,WORK_STEALING,1267.416,500000
Rayleigh,CDF,64,25000,128,WORK_STEALING,409.458,500000
Rayleigh,LogPDF,64,64,2048,WORK_STEALING,706.875,500000
Rayleigh,PDF,64,25000,128,WORK_STEALING,1018.834,500000
StudentT,CDF,64,256,64,WORK_STEALING,9563.958,500000
StudentT,LogPDF,64,50000,512,PARALLEL,728.166,500000
StudentT,PDF,64,50000,128,WORK_STEALING,1127.958,500000
Uniform,CDF,64,64,256,PARALLEL,541.375,500000
Uniform,LogPDF,64,,1024,VECTORIZED,89.042,500000
Uniform,PDF,64,,1024,VECTORIZED,89.666,500000
VonMises,CDF,256,64,64,PARALLEL,500262.834,500000
VonMises,LogPDF,64,300000,64,VECTORIZED,1032.541,500000
VonMises,PDF,64,50000,256,PARALLEL,1495.208,500000
Weibull,CDF,64,100000,1024,WORK_STEALING,1801.25,500000
Weibull,LogPDF,64,75000,512,WORK_STEALING,1459.083,500000
Weibull,PDF,64,25000,1024,WORK_STEALING,1824.0,500000
