distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,128,8,WORK_STEALING,4634.916,500000
Beta,LogPDF,16,16,8,WORK_STEALING,4667.417,500000
Beta,PDF,16,64,32,PARALLEL,5575.625,500000
Binomial,CDF,32,128,16,VECTORIZED,66132.666,500000
Binomial,LogPDF,8,,128,VECTORIZED,10261.916,500000
Binomial,PDF,8,,256,VECTORIZED,12431.75,500000
ChiSquared,CDF,8,8,8,WORK_STEALING,4881.708,500000
ChiSquared,LogPDF,8,8,32,PARALLEL,539.083,500000
ChiSquared,PDF,8,8,8,WORK_STEALING,1008.583,500000
Discrete,CDF,8,100000,32,VECTORIZED,273.458,500000
Discrete,LogPDF,8,250000,8,PARALLEL,262.0,500000
Discrete,PDF,8,500000,32,PARALLEL,198.5,500000
Exponential,CDF,8,8,64,PARALLEL,461.333,500000
Exponential,LogPDF,8,16,8,PARALLEL,152.0,500000
Exponential,PDF,8,8,64,WORK_STEALING,489.75,500000
Gamma,CDF,8,8,32,WORK_STEALING,4444.541,500000
Gamma,LogPDF,8,8,32,PARALLEL,537.125,500000
Gamma,PDF,8,8,32,WORK_STEALING,1066.084,500000
Gaussian,CDF,8,,32,VECTORIZED,1026.375,500000
Gaussian,LogPDF,8,8,16,WORK_STEALING,173.042,500000
Gaussian,PDF,8,8,1000,WORK_STEALING,402.25,500000
LogNormal,CDF,8,10000,16,VECTORIZED,2193.792,500000
LogNormal,LogPDF,8,8,16,PARALLEL,651.875,500000
LogNormal,PDF,8,8,16,PARALLEL,1090.875,500000
NegBinomial,CDF,512,8,16,SCALAR,47931.125,500000
NegBinomial,LogPDF,8,,8,VECTORIZED,13893.25,500000
NegBinomial,PDF,8,,128,VECTORIZED,13773.208,500000
Pareto,CDF,8,50000,16,WORK_STEALING,1239.542,500000
Pareto,LogPDF,8,100000,128,PARALLEL,782.958,500000
Pareto,PDF,8,8,16,WORK_STEALING,1511.333,500000
Poisson,CDF,256,16,32,WORK_STEALING,4491.458,500000
Poisson,LogPDF,8,50000,8,WORK_STEALING,749.083,500000
Poisson,PDF,8,16,32,WORK_STEALING,1276.458,500000
Rayleigh,CDF,8,8,64,PARALLEL,480.75,500000
Rayleigh,LogPDF,8,8,256,PARALLEL,794.583,500000
Rayleigh,PDF,8,8,16,WORK_STEALING,1249.416,500000
StudentT,CDF,8,32,8,WORK_STEALING,46702.083,500000
StudentT,LogPDF,8,8,64,WORK_STEALING,815.542,500000
StudentT,PDF,8,8,128,WORK_STEALING,1211.375,500000
Uniform,CDF,8,16,16,WORK_STEALING,508.958,500000
Uniform,LogPDF,8,,8,VECTORIZED,91.458,500000
Uniform,PDF,8,16,64,VECTORIZED,89.375,500000
VonMises,CDF,16,128,32,PARALLEL,525400.75,500000
VonMises,LogPDF,8,,512,VECTORIZED,1017.375,500000
VonMises,PDF,8,8,64,PARALLEL,1389.042,500000
Weibull,CDF,8,8,256,WORK_STEALING,2249.916,500000
Weibull,LogPDF,16,8,16,WORK_STEALING,1724.667,500000
Weibull,PDF,8,8,256,WORK_STEALING,2067.292,500000
