distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,1024,1024,PARALLEL,3735.9,500000
Beta,LogPDF,64,512,128,PARALLEL,2588.4,500000
Beta,PDF,64,128,128,WORK_STEALING,3022.9,500000
Binomial,CDF,64,64,128,PARALLEL,29349.1,500000
Binomial,LogPDF,64,256,4096,PARALLEL,38987.5,500000
Binomial,PDF,64,8192,512,PARALLEL,40168.2,500000
ChiSquared,CDF,64,64,6144,PARALLEL,5053.5,500000
ChiSquared,LogPDF,64,25000,128,PARALLEL,609.0,500000
ChiSquared,PDF,64,25000,2048,PARALLEL,1030.7,500000
Discrete,CDF,64,50000,128,PARALLEL,367.9,500000
Discrete,LogPDF,64,150000,128,PARALLEL,364.3,500000
Discrete,PDF,64,75000,6144,PARALLEL,228.6,500000
Exponential,CDF,64,400000,512,VECTORIZED,458.5,500000
Exponential,LogPDF,64,300000,8192,PARALLEL,147.8,500000
Exponential,PDF,64,,128,VECTORIZED,450.4,500000
Gamma,CDF,64,64,,PARALLEL,4879.4,500000
Gamma,LogPDF,64,50000,1024,PARALLEL,735.9,500000
Gamma,PDF,64,50000,,PARALLEL,1110.0,500000
Gaussian,CDF,64,256,2048,PARALLEL,851.8,500000
Gaussian,LogPDF,64,,512,VECTORIZED,152.9,500000
Gaussian,PDF,64,150000,128,PARALLEL,545.9,500000
LogNormal,CDF,64,25000,1024,PARALLEL,1344.0,500000
LogNormal,LogPDF,64,50000,512,PARALLEL,546.0,500000
LogNormal,PDF,64,50000,512,PARALLEL,1290.7,500000
NegBinomial,CDF,1024,128,512,PARALLEL,37953.8,500000
NegBinomial,LogPDF,64,,128,VECTORIZED,32164.9,500000
NegBinomial,PDF,64,,256,VECTORIZED,35745.9,500000
Pareto,CDF,64,,1024,VECTORIZED,918.7,500000
Pareto,LogPDF,64,,128,VECTORIZED,555.9,500000
Pareto,PDF,64,,,VECTORIZED,825.3,500000
Poisson,CDF,512,512,512,PARALLEL,5675.3,500000
Poisson,LogPDF,64,64,128,PARALLEL,1120.5,500000
Poisson,PDF,64,8192,2048,PARALLEL,1523.2,500000
Rayleigh,CDF,64,400000,64,PARALLEL,456.4,500000
Rayleigh,LogPDF,64,100000,1024,PARALLEL,577.2,500000
Rayleigh,PDF,64,150000,128,PARALLEL,1256.5,500000
StudentT,CDF,64,64,256,WORK_STEALING,16015.7,500000
StudentT,LogPDF,64,,64,VECTORIZED,620.0,500000
StudentT,PDF,64,300000,2048,VECTORIZED,1097.4,500000
Uniform,CDF,64,512,512,PARALLEL,441.1,500000
Uniform,LogPDF,64,64,256,PARALLEL,462.8,500000
Uniform,PDF,64,50000,512,PARALLEL,473.3,500000
VonMises,CDF,128,128,64,WORK_STEALING,466834.7,500000
VonMises,LogPDF,64,100000,2048,PARALLEL,905.4,500000
VonMises,PDF,64,25000,,PARALLEL,1212.3,500000
Weibull,CDF,64,,256,VECTORIZED,1205.5,500000
Weibull,LogPDF,64,50000,512,PARALLEL,1170.0,500000
Weibull,PDF,64,50000,128,PARALLEL,1556.0,500000
