distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,256,8,WORK_STEALING,3318.916,500000
Beta,LogPDF,16,512,16,WORK_STEALING,4676.916,500000
Beta,PDF,16,8,256,PARALLEL,5606.542,500000
Binomial,CDF,64,32,8,VECTORIZED,66176.167,500000
Binomial,LogPDF,8,,16,VECTORIZED,10753.792,500000
Binomial,PDF,8,512,8,VECTORIZED,12517.375,500000
ChiSquared,CDF,8,8,8,WORK_STEALING,4123.209,500000
ChiSquared,LogPDF,8,8,2000,WORK_STEALING,512.042,500000
ChiSquared,PDF,8,8,8,WORK_STEALING,900.458,500000
Discrete,CDF,8,8,2000,VECTORIZED,273.25,500000
Discrete,LogPDF,8,250000,32,PARALLEL,225.375,500000
Discrete,PDF,8,250000,32,PARALLEL,192.083,500000
Exponential,CDF,8,8,1000,WORK_STEALING,434.5,500000
Exponential,LogPDF,8,8,8,PARALLEL,107.208,500000
Exponential,PDF,8,8,512,PARALLEL,404.291,500000
Gamma,CDF,8,16,16,WORK_STEALING,3853.75,500000
Gamma,LogPDF,8,8,8,PARALLEL,550.291,500000
Gamma,PDF,8,8,2000,WORK_STEALING,886.459,500000
Gaussian,CDF,8,,2000,VECTORIZED,1011.208,500000
Gaussian,LogPDF,8,8,32,PARALLEL,103.291,500000
Gaussian,PDF,8,8,64,PARALLEL,364.042,500000
LogNormal,CDF,8,,32,VECTORIZED,2272.167,500000
LogNormal,LogPDF,8,8,256,WORK_STEALING,671.459,500000
LogNormal,PDF,8,8,2000,PARALLEL,1077.125,500000
NegBinomial,CDF,8,16,32,VECTORIZED,48159.584,500000
NegBinomial,LogPDF,8,,2000,VECTORIZED,13917.958,500000
NegBinomial,PDF,8,,64,VECTORIZED,13848.5,500000
Pareto,CDF,8,50000,2000,PARALLEL,1171.583,500000
Pareto,LogPDF,8,100000,16,PARALLEL,707.5,500000
Pareto,PDF,8,8,2000,WORK_STEALING,1412.333,500000
Poisson,CDF,8,16,64,WORK_STEALING,4287.125,500000
Poisson,LogPDF,8,128,8,WORK_STEALING,768.334,500000
Poisson,PDF,8,10000,128,PARALLEL,1259.666,500000
Rayleigh,CDF,8,8,2000,PARALLEL,438.417,500000
Rayleigh,LogPDF,8,8,2000,WORK_STEALING,643.458,500000
Rayleigh,PDF,8,8,8,WORK_STEALING,962.125,500000
StudentT,CDF,8,16,512,WORK_STEALING,8782.208,500000
StudentT,LogPDF,8,8,1000,PARALLEL,713.209,500000
StudentT,PDF,8,8,256,PARALLEL,1077.542,500000
Uniform,CDF,8,8,256,WORK_STEALING,484.583,500000
Uniform,LogPDF,8,1000,2000,VECTORIZED,89.333,500000
Uniform,PDF,8,,2000,VECTORIZED,89.792,500000
VonMises,CDF,16,8,64,WORK_STEALING,508103.625,500000
VonMises,LogPDF,8,500000,16,WORK_STEALING,842.542,500000
VonMises,PDF,8,250000,2000,WORK_STEALING,1245.791,500000
Weibull,CDF,8,8,2000,WORK_STEALING,1862.542,500000
Weibull,LogPDF,8,8,128,WORK_STEALING,1432.25,500000
Weibull,PDF,8,8,32,WORK_STEALING,1834.625,500000
