distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,128,8,WORK_STEALING,8173.655,500000
Beta,LogPDF,16,32,8,PARALLEL,9040.173,500000
Beta,PDF,16,8,8,PARALLEL,9972.531,500000
Binomial,CDF,8,16,64,VECTORIZED,194754.56,500000
Binomial,LogPDF,8,,64,VECTORIZED,32046.25,500000
Binomial,PDF,8,,8,VECTORIZED,39504.291,500000
ChiSquared,CDF,8,8,8,WORK_STEALING,7553.242,500000
ChiSquared,LogPDF,8,8,16,WORK_STEALING,1145.664,500000
ChiSquared,PDF,8,8,8,WORK_STEALING,2009.512,500000
Discrete,CDF,8,8,5000,WORK_STEALING,393.496,500000
Discrete,LogPDF,8,,32,WORK_STEALING,343.302,500000
Discrete,PDF,8,500000,16,WORK_STEALING,428.745,500000
Exponential,CDF,8,8,512,WORK_STEALING,1007.667,500000
Exponential,LogPDF,8,8,16,WORK_STEALING,234.189,500000
Exponential,PDF,8,8,16,WORK_STEALING,798.704,500000
Gamma,CDF,8,8,8,WORK_STEALING,6467.906,500000
Gamma,LogPDF,8,8,32,WORK_STEALING,1005.021,500000
Gamma,PDF,8,8,16,WORK_STEALING,2362.624,500000
Gaussian,CDF,8,100000,8,WORK_STEALING,2721.107,500000
Gaussian,LogPDF,8,8,32,WORK_STEALING,225.836,500000
Gaussian,PDF,8,8,16,WORK_STEALING,751.274,500000
LogNormal,CDF,8,8,16,WORK_STEALING,4458.645,500000
LogNormal,LogPDF,16,8,2000,WORK_STEALING,1242.859,500000
LogNormal,PDF,8,8,128,WORK_STEALING,2399.903,500000
NegBinomial,CDF,16,32,8,SCALAR,136318.188,500000
NegBinomial,LogPDF,8,,256,VECTORIZED,24568.034,500000
NegBinomial,PDF,8,,64,VECTORIZED,38858.738,500000
Pareto,CDF,8,,128,WORK_STEALING,2628.933,500000
Pareto,LogPDF,8,8,512,WORK_STEALING,1488.786,500000
Pareto,PDF,8,250000,128,WORK_STEALING,1947.09,500000
Poisson,CDF,32,16,1000,WORK_STEALING,7554.669,500000
Poisson,LogPDF,8,8,32,WORK_STEALING,1400.118,500000
Poisson,PDF,8,16,8,WORK_STEALING,2640.604,500000
Rayleigh,CDF,8,8,1000,WORK_STEALING,898.579,500000
Rayleigh,LogPDF,16,8,64,WORK_STEALING,1146.131,500000
Rayleigh,PDF,8,8,32,WORK_STEALING,2464.546,500000
StudentT,CDF,8,32,8,WORK_STEALING,18783.851,500000
StudentT,LogPDF,8,8,256,PARALLEL,1894.058,500000
StudentT,PDF,8,100000,32,WORK_STEALING,2478.609,500000
Uniform,CDF,8,8,8,WORK_STEALING,584.46,500000
Uniform,LogPDF,8,256,16,VECTORIZED,363.693,500000
Uniform,PDF,8,512,256,VECTORIZED,536.015,500000
VonMises,CDF,8,16,16,WORK_STEALING,1789500.253,500000
VonMises,LogPDF,8,,512,WORK_STEALING,1823.372,500000
VonMises,PDF,8,,16,WORK_STEALING,2843.287,500000
Weibull,CDF,8,,32,WORK_STEALING,3633.754,500000
Weibull,LogPDF,8,8,64,WORK_STEALING,2091.669,500000
Weibull,PDF,8,8,32,WORK_STEALING,3781.523,500000
