distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,8,50000,8,WORK_STEALING,19308.842,500000
Beta,LogPDF,32,16,8,PARALLEL,20295.199,500000
Beta,PDF,16,256,8,WORK_STEALING,22987.878,500000
Binomial,CDF,32,50000,32,WORK_STEALING,233771.389,500000
Binomial,LogPDF,8,,8,VECTORIZED,56951.354,500000
Binomial,PDF,8,,8,VECTORIZED,69716.695,500000
ChiSquared,CDF,16,8,64,WORK_STEALING,8701.107,500000
ChiSquared,LogPDF,16,8,32,WORK_STEALING,1632.35,500000
ChiSquared,PDF,8,8,8,WORK_STEALING,2594.036,500000
Discrete,CDF,8,100000,8,WORK_STEALING,884.396,500000
Discrete,LogPDF,8,100000,8,WORK_STEALING,596.989,500000
Discrete,PDF,8,128,5000,WORK_STEALING,578.809,500000
Exponential,CDF,8,8,32,WORK_STEALING,1307.774,500000
Exponential,LogPDF,8,8,8,WORK_STEALING,331.487,500000
Exponential,PDF,8,100000,16,WORK_STEALING,1225.655,500000
Gamma,CDF,16,8,32,WORK_STEALING,9616.255,500000
Gamma,LogPDF,16,8,8,WORK_STEALING,1633.515,500000
Gamma,PDF,8,8,16,WORK_STEALING,3104.022,500000
Gaussian,CDF,8,8,64,WORK_STEALING,3252.488,500000
Gaussian,LogPDF,8,8,1000,PARALLEL,295.202,500000
Gaussian,PDF,8,8,5000,WORK_STEALING,1006.725,500000
LogNormal,CDF,16,8,16,WORK_STEALING,5003.796,500000
LogNormal,LogPDF,16,8,1000,WORK_STEALING,1933.794,500000
LogNormal,PDF,8,8,64,WORK_STEALING,2959.03,500000
NegBinomial,CDF,8,50000,,PARALLEL,198876.92,500000
NegBinomial,LogPDF,8,,16,VECTORIZED,50603.62,500000
NegBinomial,PDF,8,,16,VECTORIZED,63401.249,500000
Pareto,CDF,8,250000,5000,WORK_STEALING,4264.76,500000
Pareto,LogPDF,8,8,2000,WORK_STEALING,1729.375,500000
Pareto,PDF,8,100000,1000,WORK_STEALING,2723.691,500000
Poisson,CDF,32,50000,16,WORK_STEALING,12969.139,500000
Poisson,LogPDF,8,50000,8,WORK_STEALING,2074.732,500000
Poisson,PDF,8,8,32,WORK_STEALING,4845.739,500000
Rayleigh,CDF,8,8,5000,WORK_STEALING,1917.535,500000
Rayleigh,LogPDF,16,8,256,WORK_STEALING,1725.973,500000
Rayleigh,PDF,8,8,512,WORK_STEALING,2786.6,500000
StudentT,CDF,8,8,8,PARALLEL,166011.303,500000
StudentT,LogPDF,8,8,8,PARALLEL,2995.74,500000
StudentT,PDF,8,100000,8,PARALLEL,5598.47,500000
Uniform,CDF,8,8,8,WORK_STEALING,713.138,500000
Uniform,LogPDF,8,16,32,VECTORIZED,488.545,500000
Uniform,PDF,8,,32,VECTORIZED,495.368,500000
VonMises,CDF,8,16,8,WORK_STEALING,1894961.544,500000
VonMises,LogPDF,8,,256,WORK_STEALING,2916.311,500000
VonMises,PDF,8,500000,5000,WORK_STEALING,3890.307,500000
Weibull,CDF,8,100000,256,WORK_STEALING,4127.623,500000
Weibull,LogPDF,16,8,2000,WORK_STEALING,2786.523,500000
Weibull,PDF,8,8,512,WORK_STEALING,4201.277,500000
