distribution,operation,scalar_to_vectorized,vectorized_to_parallel,parallel_to_work_stealing,best_strategy_at_max_size,best_time_us_at_max_size,max_batch_size
Beta,CDF,64,512,64,WORK_STEALING,30049.018,2000000
Beta,LogPDF,64,64,8192,WORK_STEALING,41779.014,2000000
Beta,PDF,64,64,128,WORK_STEALING,46533.762,2000000
Binomial,CDF,64,128,256,VECTORIZED,603455.646,2000000
Binomial,LogPDF,64,,64,VECTORIZED,105237.902,2000000
Binomial,PDF,64,,64,VECTORIZED,132428.547,2000000
ChiSquared,CDF,64,64,256,WORK_STEALING,31650.605,2000000
ChiSquared,LogPDF,64,64,256,WORK_STEALING,5222.173,2000000
ChiSquared,PDF,64,6144,64,WORK_STEALING,10292.261,2000000
Discrete,CDF,64,2048,256,WORK_STEALING,2340.924,2000000
Discrete,LogPDF,64,50000,64,WORK_STEALING,2462.489,2000000
Discrete,PDF,64,50000,128,WORK_STEALING,1881.164,2000000
Exponential,CDF,64,25000,128,WORK_STEALING,4500.786,2000000
Exponential,LogPDF,64,64,512,PARALLEL,1921.45,2000000
Exponential,PDF,64,25000,4096,WORK_STEALING,4588.373,2000000
Gamma,CDF,64,64,512,WORK_STEALING,30469.554,2000000
Gamma,LogPDF,64,64,64,WORK_STEALING,4768.603,2000000
Gamma,PDF,64,25000,128,WORK_STEALING,9876.691,2000000
Gaussian,CDF,64,6144,128,WORK_STEALING,14800.344,2000000
Gaussian,LogPDF,64,64,128,PARALLEL,1995.132,2000000
Gaussian,PDF,64,50000,64,WORK_STEALING,4239.992,2000000
LogNormal,CDF,64,6144,64,WORK_STEALING,18211.663,2000000
LogNormal,LogPDF,64,64,2048,WORK_STEALING,5018.989,2000000
LogNormal,PDF,64,8192,256,WORK_STEALING,10692.488,2000000
NegBinomial,CDF,64,1024,256,VECTORIZED,476745.901,2000000
NegBinomial,LogPDF,64,,1024,VECTORIZED,96864.032,2000000
NegBinomial,PDF,64,,64,VECTORIZED,139156.328,2000000
Pareto,CDF,64,50000,2048,WORK_STEALING,13423.25,2000000
Pareto,LogPDF,64,64,4096,WORK_STEALING,5270.81,2000000
Pareto,PDF,64,25000,128,WORK_STEALING,8471.41,2000000
Poisson,CDF,256,128,64,WORK_STEALING,35220.312,2000000
Poisson,LogPDF,64,64,64,WORK_STEALING,7221.099,2000000
Poisson,PDF,64,64,128,WORK_STEALING,14646.405,2000000
Rayleigh,CDF,64,25000,1024,WORK_STEALING,3824.068,2000000
Rayleigh,LogPDF,64,64,256,WORK_STEALING,5129.669,2000000
Rayleigh,PDF,64,25000,4096,WORK_STEALING,8631.61,2000000
StudentT,CDF,64,64,256,WORK_STEALING,65128.612,2000000
StudentT,LogPDF,64,25000,64,WORK_STEALING,6114.28,2000000
StudentT,PDF,64,50000,128,WORK_STEALING,10465.888,2000000
Uniform,CDF,64,64,64,WORK_STEALING,3553.38,2000000
Uniform,LogPDF,64,64,2048,VECTORIZED,2527.388,2000000
Uniform,PDF,64,64,128,VECTORIZED,2116.148,2000000
VonMises,CDF,128,64,64,WORK_STEALING,5844762.371,2000000
VonMises,LogPDF,64,200000,4096,WORK_STEALING,10086.362,2000000
VonMises,PDF,64,150000,128,VECTORIZED,17745.614,2000000
Weibull,CDF,64,75000,512,WORK_STEALING,14877.523,2000000
Weibull,LogPDF,64,10000,4096,WORK_STEALING,10208.132,2000000
Weibull,PDF,64,50000,1024,WORK_STEALING,14948.658,2000000
